date,station,site,location,country,latitude,longitude,exposure,orientation,geology,reef_geomorphology,reeftype_old,reef_type
2015-03-14,quirind2,quirindi,palma,mozambique,-10.62036501,40.61030997,3,ne,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2015-03-13,quiwia,quiwia,palma,mozambique,-10.72325,40.63063333,2,south,continental_fringing_reef,inner_seas_patch_reef_complex,fringing,shallow_terrace
2014-03-29,ronanknoll,salomon_lagoon,salomon,chagos,-5.308833333,72.25236667,2,various,atoll,atoll_patch,Lagoon knoll,lagoon_pinnacle
2015-03-12,rongwe,palma_islands,palma,mozambique,-10.82188399,40.65679098,2,west,continental_island,coastal_barrier_reef_complex,Patch,subtidal_reef_flat
2014-03-28,saispass1-14,saisdela_passe,salomon,chagos,-5.298616667,72.25518333,5,n,atoll,atoll_rim,Terrace&Wall,forereef
2014-03-29,saispass2-14,saisdela_passe,salomon,chagos,-5.2986,72.2546,5,n,atoll,atoll_rim,Terrace&Wall,forereef
2015-03-05,shauli1,metundo_nw,metundo,mozambique,-11.12168333,40.67656667,3,ne,continental_island,coastal_barrier_reef_complex,Offshore patch reef,shallow_terrace
2014-03-01,shauli1,metundonw,metundo,mozambique,-11.12168333,40.67656667,3,nw,continental_island,coastal_barrier_reef_complex,Offshore patch reef,shallow_terrace
2015-03-05,shauli2,metundo_nw,metundo,mozambique,-11.12011667,40.67365,3,ne,continental_island,coastal_barrier_reef_complex,Offshore patch reef,shallow_terrace
2014-03-01,shauli2,metundonw,metundo,mozambique,-11.12011667,40.67365,3,nw,continental_island,coastal_barrier_reef_complex,Offshore patch reef,shallow_terrace
2011-03-23,nyamn07,nyamalile,mafia,tanzania,-8.028266667,39.51086667,2,west,continental_patch_complex,inner_seas_patch_reef_complex,Large Patch reef,shallow_terrace
2011-03-23,nyams34,nyamalile,mafia,tanzania,-8.060366667,39.52853333,2,south,continental_patch_complex,inner_seas_patch_reef_complex,Large Patch reef,subtidal_reef_flat
2014-04-08,southbros,three_brothers,gt_chagos_bank,chagos,-6.1742,71.53916667,4,ne,atoll,atoll_rim,Terrace&Wall,forereef
2015-03-12,tekamajis,palma_islands,palma,mozambique,-10.80747499,40.649174,2,west,continental_island,coastal_barrier_reef_complex,Patch,shallow_lagoonal_terrace
2015-03-15,tekamajn1,tekamajin,palma,mozambique,-10.75541801,40.64315999,3,east,continental_island,coastal_barrier_reef_complex,Fore reef slope,forereef
2015-03-15,tekamajn2,tekamajin,palma,mozambique,-10.75634203,40.64404001,2,west,continental_island,coastal_barrier_reef_complex,back reef,shallow_terrace
2014-09-19,tn14_01_01,ras_douan_sable_blanc,tadjourah_n,djibouti,11.788433,42.967267,NA,s,,,17,
2014-09-19,tn14_01_02,ras_douan_sable_blanc,tadjourah_n,djibouti,11.77873,42.921443,NA,s,,,16,
2014-09-18,tn14_02_01,daley,tadjourah_n,djibouti,11.862403,43.108404,NA,se,,,10,
2014-09-18,tn14_02_02,daley,tadjourah_n,djibouti,11.853533,43.09772,NA,se,,,8,
2014-09-22,tn14_03_01,kalaf,tadjourah_n,djibouti,11.731252,42.773105,NA,se,,,8,
2014-09-22,tn14_03_02,kalaf,tadjourah_n,djibouti,11.713678,42.763379,NA,se,,,6,
2014-09-21,ts14_01_01,manta_point,tadjourah_s,djibouti,11.589092,42.875672,NA,n,,,14,
2014-09-21,ts14_01_02,manta_point,tadjourah_s,djibouti,11.590468,42.865632,NA,n,,,14,
2014-09-20,ts14_02_01,khorambado_dorale,tadjourah_s,djibouti,11.77873,42.921443,NA,n,,,8,
2014-09-20,ts14_02_02,khorambado_dorale,tadjourah_s,djibouti,11.77873,42.921443,NA,n,,,13,
2014-09-25,ts14_03_01,arta_plage,tadjourah_s,djibouti,11.587478,42.829101,NA,n,,,13,
2014-09-25,ts14_03_02,arta_plage,tadjourah_s,djibouti,11.588636,42.844813,NA,n,,,10,
2011-10-03,tunnel,tunnel,pemba,mozambique,-12.95805,40.55376667,2,east,continental_fringing_reef,ocean-exposed_fringing_reef,Plateau,deep_terrace
