date,station,site,country,latitude,longitude,closest_cell_lat,closest_cell_lon,cell_distance_km,sst_annual_mean
2022-10-28,mbcg_01,mombasa_coral_garden,kenya,-3.99084,39.75045,-3.97916674613953,39.7708320617676,2.60701400258269,27.1304160602546
2023-03-24,str_01,starfish,kenya,-3.99418,39.74729,-3.97916674613953,39.7291679382324,2.61301271349555,27.034166062406
2021-03-24,lev_01,leven,kenya,-4.06152,39.72062,-4.0625,39.7291679382324,0.954343024282984,27.7687493793201
2021-03-24,lev_02,leven,kenya,-4.05775,39.72238,-4.0625,39.7291679382324,0.919682449310623,27.7687493793201
2023-03-23,nycg_01,nyali_coral_garden,kenya,-4.06005,39.71089,-4.0625,39.7291679382324,2.04553592560047,27.0662493950222
2023-02-23,riw_01,ras_iwatine,kenya,-4.02071,39.73404,-4.02083349227905,39.7291679382324,0.54059042154704,26.9824993968941
2022-04-04,aru_01,arusha,kenya,-4.48763,39.51693,-4.47916698455811,39.5208320617676,1.03570149615342,27.4487493864726
2022-04-04,aru_02,arusha,kenya,-4.48453,39.51809,-4.47916698455811,39.5208320617676,0.66934393520971,27.4487493864726
2021-11-17,cha_01,chale,kenya,-4.4621,39.53681,-4.47916698455811,39.5208320617676,2.59593608313385,27.4745827192285
2021-11-17,cha_02,chale,kenya,-4.45619,39.53984,-4.4375,39.5208320617676,2.95964061284629,27.4820827190609
2022-03-31,jbwk_02,jamba_wa_kwale,kenya,-4.52081,39.50502,-4.52083349227905,39.5208320617676,1.75275548999788,27.3699993882328
2022-03-31,jbwk_01,jamba_wa_kwale,kenya,-4.516,39.50863,-4.52083349227905,39.5208320617676,1.45546238127007,27.3699993882328
2022-02-04,mbo_02,mboe,kenya,-4.54421,39.48566,-4.5625,39.4791679382324,2.15731489918478,27.545832717636
2022-04-02,mbo_01,mboe,kenya,-4.53941,39.4878,-4.52083349227905,39.4791679382324,2.27647168478672,27.5845827167699
2022-04-05,mek_02,mekka,kenya,-4.48421,39.52488,-4.47916698455811,39.5208320617676,0.718201213670523,27.4487493864726
2022-04-05,mek_01,mekka,kenya,-4.482,39.52639,-4.47916698455811,39.5208320617676,0.691988567386504,27.4487493864726
2022-04-01,mli_01,mliani,kenya,-4.53723,39.46921,-4.52083349227905,39.4791679382324,2.13131655984811,27.5845827167699
2022-04-01,mli_02,mliani,kenya,-4.53429,39.46857,-4.52083349227905,39.4791679382324,1.90235943466756,27.5845827167699
2022-03-04,mwk_01,mwakinyavu,kenya,-4.56582,39.47786,-4.5625,39.4791679382324,0.3966139227475,27.4324993868358
2022-03-04,mwk_02,mwakinyavu,kenya,-4.56088,39.47862,-4.5625,39.4791679382324,0.190099308546925,27.4324993868358
2022-03-30,klg_01,kilingoni,kenya,-4.54755,39.46273,-4.5625,39.4791679382324,2.46643701090475,27.4324993868358
2023-02-11,chp_01,chipopo,kenya,-2.16603,41.03939,-2.14583349227905,41.0208320617676,3.04887275022554,28.4116660316164
2023-02-11,jmi_01,jumba_idodi,kenya,-2.16291,41.04219,-2.14583349227905,41.0625,2.94933407163579,27.621249382617
2023-02-19,mtb_01,mtanga_wa_bandari,kenya,-2.18239,41.02393,-2.1875,41.0208320617676,0.664341842808396,27.7683327126627
2019-11-15,fug_01,fundo_coral_garden,tanzania,-5.00175,39.65602,-5.02083349227905,39.6458320617676,2.40341407256789,27.9170827093379
2019-11-17,fug_02,fundo_coral_garden,tanzania,-5.00113,39.65659,-5.02083349227905,39.6458320617676,2.49403909853074,27.9170827093379
2019-11-13,fgi_01,fundo_gap_inner,tanzania,-5.0138,39.66669,-5.02083349227905,39.6875,2.43416667122399,28.1679160370647
2019-11-13,fgi_02,fundo_gap_inner,tanzania,-5.00948,39.66764,-5.02083349227905,39.6875,2.53638726516676,28.1679160370647
2019-11-14,fuo_01,fundo_outer,tanzania,-5.04223,39.64186,-5.0625,39.6458320617676,2.29646235987707,27.982082707885
2019-11-14,fuo_02,fundo_outer,tanzania,-5.04704,39.64025,-5.0625,39.6458320617676,1.82688212148201,27.982082707885
2019-11-16,kug_01,kokota_uvinje_gap,tanzania,-5.13608,39.64122,-5.14583349227905,39.6458320617676,1.19879940102253,28.1408327043367
2019-11-16,kug_02,kokota_uvinje_gap,tanzania,-5.13836,39.63672,-5.14583349227905,39.6458320617676,1.30726757341256,28.1408327043367
