date,station,site,location,country,latitude,longitude,rugosity,viz,temp,max_depth_m,min_depth_m,div_maxd,habitat
2021-11-20,kmo_01,kinondo_makonde,diani,kenya,-4.40924,39.56028,2,14,26,16,9,16.6,Hard corals and soft corals from 8m then a mixture of macroalgae and sand patches at 10m
2021-11-20,kmo_02,kinondo_makonde,diani,kenya,-4.40924,39.56028,2,10,28,12,7,11.9,Shallow with gently slope with rubble on the edge. Old porites bommies some dead and some alive
2022-03-03,kny_01,kinyika_inner,lamu,kenya,-2.43039,40.8404,1,7,27,12.3,7.2,12.3,"flat shallow reef with isolated macroalgae and hard corals, some patches of sand and reef areas"
2022-03-05,knyo_01,kinyika_outer,lamu,kenya,-2.430123,40.842049,2,7,27,7.8,3.7,7.8,Macroalgae and isolated hard corals and soft corals. Some ledges and caves with large schools of grunts and snappers. Some patches towards the south end bare with sand pacthes and rubble
2021-04-13,kse_01,kisite_east,kisite_marine_national_park,kenya,-4.71487,39.38127,3,15,28,10,5,10,Reef with extensive and rich coral cover upto to 10m then sand and patches of seagrass. 
2021-04-13,kse_02,kisite_east,kisite_marine_national_park,kenya,-4.715047013,39.38061403,3,15,28,6,5,8,"Shallow site upto 6m big galaxea colony, Sand flat from 6m, big galaxea colony at 3m"
2021-11-18,ksm_01,kaya_similani,waa,kenya,NA,39.65393,3,13,26,14,9,14.5,"Rich hard coral and soft corals at 11m Large platygyra at 12m, rubble and isolated coral pathes at 12m "
2021-11-18,ksm_02,kaya_similani,waa,kenya,-4.15567,39.65119,2,14,26,13.5,9.4,15.3,"Hard coral and dominant soft corals to 14m, rubble and macroalgae from 14 m and below, small crevices and ledges in some sections. "
2022-11-17,msu_01,kisiwa_kikubwa,mafia,tanzania,-7.96221,39.7943,3,10,27,14.7,3.4,15,"40 degree slope, high rugosity, with soft coral dominated, some very large Porites but flattened growth form. Ends at ~ 15-17m to slight rubble/sand slope"
2022-11-17,kik_01,kisiwa_kikubwa,mafia,tanzania,-7.95904,39.79773,2,10,27,6.9,1.9,10,"Inner protected reef in Chole Bay. Complex topography (rugosity 4) with pinnacles with steep walls covered with sponges and ascidians, and elsewhere soft corals and brown algae common, live hard coral relatively uncommon."
2022-11-20,kitin_02,kitutia_inner,mafia,tanzania,-8.12197,39.65401,2,16,27,9.7,3.4,NA,"Shallow lagoonal reef plateau at 5-3m. Short slope to 8m with Galaxea, branching Acropora going to algae and sand bottom. Very high live coral cover."
2022-11-20,kitin_01,kitutia_inner,mafia,tanzania,-8.11881,39.65028,2,20,27,10.6,4,NA,"Forereef slope at 35 degrees to rubble and sand bottom at 18-20m. Slope dominated by soft corals, sponges, some live corals including plate Acropora (two very large plates). Some very large boulders and overhangs"
