date,station,site,country,latitude,longitude,closest_cell,cell_distance_km,chla_annual_mean
2022-10-28,mbcg_01,mombasa_coral_garden,kenya,-3.99084,39.75045,10164282,7.17451259958147,0.0433583565000305
2023-03-24,str_01,starfish,kenya,-3.99418,39.74729,10164282,7.49853371915476,0.0427256942277327
2021-03-24,lev_01,leven,kenya,-4.06152,39.72062,10164282,15.1107819873144,0.0465467194887682
2021-03-24,lev_02,leven,kenya,-4.05775,39.72238,10164282,14.6681489475892,0.0465467194887682
2023-03-23,nycg_01,nyali_coral_garden,kenya,-4.06005,39.71089,10164281,14.8292454429547,0.0417710940043131
2023-02-23,riw_01,ras_iwatine,kenya,-4.02071,39.73404,10164282,10.4356042898844,0.0431055306400383
2022-04-04,aru_01,arusha,kenya,-4.48763,39.51693,10318162,51.5960370596744,2.65611479105043
2022-04-04,aru_02,arusha,kenya,-4.48453,39.51809,10318162,51.5853519341617,2.65611479105043
2021-11-17,cha_01,chale,kenya,-4.4621,39.53681,10318162,50.5261889234587,2.87922444259911
2021-11-17,cha_02,chale,kenya,-4.45619,39.53984,10318162,50.4719130211668,2.87922444259911
2022-03-31,jbwk_02,jamba_wa_kwale,kenya,-4.52081,39.50502,10318162,51.8195386236922,2.71427755907547
2022-03-31,jbwk_01,jamba_wa_kwale,kenya,-4.516,39.50863,10318162,51.5670763853308,2.71427755907547
2022-02-04,mbo_02,mboe,kenya,-4.54421,39.48566,10318162,53.3460265388154,2.7080978012085
2022-04-02,mbo_01,mboe,kenya,-4.53941,39.4878,10318162,53.2178419732009,2.65611479105043
2022-04-05,mek_02,mekka,kenya,-4.48421,39.52488,10318162,50.8859923947929,2.65611479105043
2022-04-05,mek_01,mekka,kenya,-4.482,39.52639,10318162,50.8100967866547,2.65611479105043
2022-04-01,mli_01,mliani,kenya,-4.53723,39.46921,10318162,55.2854403710804,2.65611479105043
2022-04-01,mli_02,mliani,kenya,-4.53429,39.46857,10318162,55.4204962003026,2.65611479105043
2022-03-04,mwk_01,mwakinyavu,kenya,-4.56582,39.47786,10318162,53.7963942342561,2.71427755907547
2022-03-04,mwk_02,mwakinyavu,kenya,-4.56088,39.47862,10318162,53.7951057524957,2.71427755907547
2022-03-30,klg_01,kilingoni,kenya,-4.54755,39.46273,10318162,55.7769129904407,2.71427755907547
2023-02-11,chp_01,chipopo,kenya,-2.16603,41.03939,9891143,54.5355852197004,0.0451049066564147
2023-02-11,jmi_01,jumba_idodi,kenya,-2.16291,41.04219,9891143,54.8737778505015,0.0451049066564147
2023-02-19,mtb_01,mtanga_wa_bandari,kenya,-2.18239,41.02393,9891142,52.702600561278,0.0448799567217213
