"date","station","site","location","country","latitude","longitude","grav_tot","distance_to_grid_km"
"2022-10-26","brc_01","brain_coral","mombasa_marine_national_park","kenya",-3.97886,39.76498,1869,0
"2021-03-25","kas_01","kasa","mombasa_marine_national_park","kenya",-3.97755,39.76639,1869,0
"2022-10-25","jbr_02","jumbo_ruins","kanamai","kenya",-3.95686,39.78,1869,0
"2022-10-25","jbr_01","jumbo_ruins","kanamai","kenya",-3.95232,39.78207,1869,0
"2020-11-24","mrd_01","mradi_tengefu","kanamai","kenya",-3.94492,39.7806,1869,0
"2020-11-25","kur_01","kuruwitu_tengefu","vipingo","kenya",-3.80801,39.83634,505,0
"2020-11-25","kur_02","kuruwitu_tengefu","vipingo","kenya",-3.80468,39.83561,505,0
"2022-11-03","wmb_02","wembe","kuruwitu","kenya",-3.76662,39.84587,505,0
"2021-02-16","vms_01","vuma_south","vuma","kenya",-3.762467,39.848483,505,0
"2022-11-03","wmb_01","wembe","kuruwitu","kenya",-3.76209,39.8414,505,0.445584812640051
"2021-02-16","vms_02","vuma_south","vuma","kenya",-3.758617,39.84935,505,0
"2021-02-15","vmn_01","vuma_north","vuma","kenya",-3.739983,39.856283,758,0
"2021-02-15","vmn_02","vuma_north","vuma","kenya",-3.736633,39.8565,758,0
"2022-11-04","tkg_01","takaungu","kilifi_plantation","kenya",-3.66621,39.88277,758,0
"2021-03-16","kiln_01","kilifi_north","kilifi","kenya",-3.63088,39.89233,7072,0
"2021-03-16","kiln_02","kilifi_north","kilifi","kenya",-3.62615,39.89341,7072,0
"2021-03-17","uyo_02","uyombo","watamu_marine_national_reserve","kenya",-3.4253,39.97349,329,0
"2021-03-17","uyo_01","uyombo","watamu_marine_national_reserve","kenya",-3.42151,39.97653,329,0
"2021-03-18","mor_02","moray","watamu_marine_national_reserve","kenya",-3.38275,40.00785,617,0
"2021-04-01","wcg_01","watamu_coral_garden","watamu_marine_national_park","kenya",-3.38165,39.99378,630,0
"2021-03-18","mor_01","moray","watamu_marine_national_reserve","kenya",-3.37962,40.0112,617,0
"2021-04-01","wcg_02","richard_bennet","watamu_marine_national_park","kenya",-3.37821,39.9974,630,0
"2020-11-20","tur_02","turtle_reef","watamu_marine_national_park","kenya",-3.37676,40.00369,617,0
"2020-11-20","tur_01","turtle_reef","watamu_marine_national_park","kenya",-3.37573,40.00408,617,0
"2021-03-19","dol_01","dolphin","watamu_marine_national_reserve","kenya",-3.37035,40.01969,617,0
"2021-03-19","dol_02","dolphin","watamu_marine_national_reserve","kenya",-3.36778,40.02478,617,0
"2021-03-29","jac_02","jacaranda","malindi_marine_national_reserve","kenya",-3.31462,40.124,309,0
"2021-03-29","jac_01","jacaranda","malindi_marine_national_reserve","kenya",-3.31053,40.12719,309,0
"2020-11-19","pap_01","papa_reef","malindi_marine_national_park","kenya",-3.26395,40.14376,5086,0
"2020-11-19","pap_02","papa_reef","malindi_marine_national_park","kenya",-3.26084,40.14191,5086,0
"2021-03-31","mlcg_02","malindi_coral_garden","malindi_marine_national_park","kenya",-3.25932,40.14463,5086,0
